country,iso3c,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India,IND,1730.0542,1845.6437,2015.2876,2072.6256,2237.6647,2278.2296,2311.9771,2441.2015,2556.7189,2551.4851,2356.959,2597.9343,2807.0805,3014.5226
Indonesia,IDN,443.682,499.9362,504.2572,474.9651,505.0762,512.3973,507.0965,535.7474,596.4692,637.5692,596.2839,622.6868,722.6996,772.5618
"Iran, Islamic Rep.",IRN,576.7498,585.9198,592.4779,612.6315,636.5399,629.4902,642.3063,666.3808,661.4499,712.5804,735.8709,784.2646,792.0589,816.133
Iraq,IRQ,111.4935,115.9065,133.0448,144.4102,138.288,137.9041,155.0442,167.3453,180.9429,193.6481,183.8743,199.7098,222.2784,232.976
Ireland,IRL,40.9249,37.144,37.6022,36.3338,36.1391,37.648,39.5133,38.2632,38.0252,36.369,34.2933,36.3826,35.6861,32.8629
Isle of Man,IMN,,,,,,,,,,,,,,
Israel,ISR,71.9452,71.1392,77.5898,68.288,65.9245,67.9917,67.5521,67.8229,63.4982,65.3145,61.3925,60.972,63.6364,60.4805
Italy,ITA,423.6329,414.5041,394.4537,361.7143,342.9756,353.7401,349.1697,345.6817,340.3734,332.562,295.2134,330.3484,331.006,304.3081
Jamaica,JAM,7.6922,7.6033,7.014,7.4837,7.2146,7.1067,7.6254,7.3076,8.6911,8.4395,5.9229,6.4724,7.5151,7.7039
Japan,JPN,1217.0641,1269.8897,1308.4016,1323.4899,1273.5698,1232.5762,1228.6537,1212.9423,1163.1278,1123.813,1060.2269,1080.206,1050.5032,1002.4382
Jordan,JOR,20.5883,21.0139,24.5322,24.0985,25.8395,25.6334,25.2353,26.5502,25.2117,23.2902,20.948,21.7432,23.338,24.0408
Kazakhstan,KAZ,242.1984,262.6296,258.8083,276.1147,233.0134,202.7539,216.1249,226.4516,229.3799,218.8149,225.4957,241.9078,246.5276,255.4342
Kenya,KEN,13.4828,13.8759,12.8926,13.8937,15.7052,17.0005,18.5033,19.2464,19.1369,19.4769,19.1646,21.5155,21.9726,21.2679
Kiribati,KIR,0.0611,0.057,0.0558,0.0601,0.0607,0.0623,0.0678,0.0691,0.0759,0.0761,0.0737,0.0805,0.0758,0.076
"Korea, Dem. People's Rep.",PRK,69.0426,50.8115,49.0217,37.9084,41.6105,32.6541,36.0271,73.5427,66.3965,73.4111,69.045,57.2906,59.8036,65.6588
"Korea, Rep.",KOR,612.9372,647.6916,645.2115,642.0472,630.5865,643.7994,648.8158,665.288,680.496,654.9901,617.3408,638.7702,613.5467,590.365
Kosovo,XKX,,,,,,,,,,,,,,
Kuwait,KWT,86.8196,91.8746,91.9634,93.8744,92.3325,95.5891,98.4,97.4646,99.0797,96.8283,92.9479,99.8995,102.6178,110.1591
Kyrgyz Republic,KGZ,6.6057,7.9039,10.4411,9.6866,9.9416,10.3162,9.7414,9.6372,11.4718,10.2267,9.3085,10.515,10.5011,10.2304
Lao PDR,LAO,2.9614,3.1262,3.3357,3.9444,4.3873,8.9275,15.871,19.2442,19.8623,19.3701,19.4378,23.8166,24.0315,25.7437
Latvia,LVA,8.8799,8.2334,8.0274,7.7794,7.5739,7.648,7.4806,7.4321,8.1079,7.9078,7.2771,7.5304,6.9268,6.9004
Lebanon,LBN,20.6592,20.9822,23.4369,23.1046,24.9694,26.9054,27.8657,29.2967,27.4937,27.0043,21.8207,16.715,10.435,10.8188
Lesotho,LSO,0.5223,0.5442,0.5764,0.5811,0.5991,0.5966,0.6575,0.7193,0.7577,0.7834,0.7032,0.7644,0.9811,0.9915
Liberia,LBR,0.7943,0.8855,0.9771,0.9074,1.1822,1.233,1.3852,1.2306,0.6419,1.0095,0.8348,0.8408,0.8686,0.8395
Libya,LBY,63.6702,44.2373,62.8561,62.6092,61.8002,54.4819,51.1525,55.3948,57.2685,57.4746,45.7025,58.3609,58.1734,63.2042
Liechtenstein,LIE,,,,,,,,,,,,,,
Lithuania,LTU,14.041,14.3203,14.4911,13.3644,13.2117,13.6606,13.5202,13.9642,14.0184,14.2965,14.2541,14.3318,13.1703,12.9794
Luxembourg,LUX,11.2134,11.0901,10.8679,10.3236,9.8199,9.3094,9.0415,9.1884,9.5448,9.6917,7.9929,8.3806,7.2657,6.9416
"Macao SAR, China",MAC,1.7202,1.6889,1.743,1.8152,2.0891,2.759,2.6259,2.8865,2.1256,2.2473,2.2329,2.0473,1.6785,1.6805
Madagascar,MDG,1.9684,2.2944,2.8507,3.0496,3.1337,3.4183,3.2513,3.5528,3.2753,4.0111,3.1281,4.103,4.384,4.5942
Malawi,MWI,4.4851,5.7394,5.683,5.0231,4.9718,4.909,4.9059,5.408,5.4582,5.6074,5.2063,6.1189,5.6023,4.7047
Malaysia,MYS,215.5014,218.2727,219.7969,237.1554,251.3897,252.8595,247.4841,237.8324,254.2848,255.1651,253.08,257.9155,276.9845,282.3786
Maldives,MDV,1.0537,1.1443,1.4422,1.6213,2.1931,1.5884,1.7341,1.6081,1.3863,1.5153,1.208,1.6808,1.7895,1.7942
Mali,MLI,1.9869,2.1656,2.2712,2.7412,2.9109,3.5312,4.5795,5.1611,5.782,6.1138,6.8432,7.3008,7.4928,7.177
Malta,MLT,2.5947,2.5818,2.7244,2.3827,2.3694,1.6722,1.3655,1.5582,1.5674,1.673,1.6204,1.6274,1.7963,1.7877
Marshall Islands,MHL,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
Mauritania,MRT,2.1069,2.265,2.5265,2.3153,2.6827,2.757,2.6247,3.809,4.4355,4.4862,4.6354,4.4111,5.0263,4.8274
Mauritius,MUS,3.6757,3.6565,3.7437,3.8572,3.9905,3.9907,4.0649,4.2071,4.1718,4.2052,3.745,3.9879,4.0499,4.3225
Mexico,MEX,476.9429,486.535,506.2322,494.0171,480.9122,490.4272,496.4682,500.6875,478.1534,493.673,439.0381,452.7201,452.9546,475.5955
"Micronesia, Fed. Sts.",FSM,2e-4,2e-4,2e-4,2e-4,2e-4,2e-4,2e-4,2e-4,2e-4,2e-4,2e-4,2e-4,2e-4,2e-4
Moldova,MDA,8.5049,8.5348,8.3528,7.4941,8.0409,8.2992,8.4234000000000009,8.3058,8.8624,9.1101,8.8484,9.6527,8.2882,8.2074
Monaco,MCO,,,,,,,,,,,,,,
